Task,Ventilation,Duration,Exposure
Tile,Negative pressure,184,(1) Low exposure
Insulation,Negative pressure,30,(3) Above legal limit
Insulation,Negative pressure,116,(3) Above legal limit
Tile,Negative pressure,133,(1) Low exposure
Insulation,General,184,(3) Above legal limit
Insulation,General,57,(3) Above legal limit
Insulation,General,111,(3) Above legal limit
Insulation,Negative pressure,98,(1) Low exposure
Insulation,Negative pressure,138,(1) Low exposure
Tile,Negative pressure,265,(1) Low exposure
Tile,Negative pressure,135,(1) Low exposure
Insulation,General,217,(3) Above legal limit
Tile,Negative pressure,245,(1) Low exposure
Insulation,Negative pressure,95,(1) Low exposure
Insulation,General,236,(3) Above legal limit
Insulation,General,226,(2) Action level
Insulation,General,145,(3) Above legal limit
Insulation,General,194,(3) Above legal limit
Insulation,General,103,(3) Above legal limit
Insulation,General,101,(3) Above legal limit
Insulation,General,105,(3) Above legal limit
Insulation,General,187,(3) Above legal limit
Insulation,General,30,(3) Above legal limit
Insulation,General,117,(3) Above legal limit
Insulation,General,244,(3) Above legal limit
Insulation,General,30,(3) Above legal limit
Insulation,General,59,(1) Low exposure
Insulation,General,78,(3) Above legal limit
Insulation,Negative pressure,139,(3) Above legal limit
Insulation,Negative pressure,193,(3) Above legal limit
Insulation,Negative pressure,30,(1) Low exposure
Tile,Negative pressure,214,(2) Action level
Insulation,Negative pressure,235,(1) Low exposure
Tile,Negative pressure,137,(1) Low exposure
Tile,Negative pressure,123,(1) Low exposure
Tile,Negative pressure,75,(1) Low exposure
Tile,Negative pressure,185,(1) Low exposure
Insulation,Negative pressure,30,(1) Low exposure
Insulation,Negative pressure,91,(3) Above legal limit
Tile,Negative pressure,138,(1) Low exposure
Tile,Negative pressure,205,(1) Low exposure
Insulation,General,47,(3) Above legal limit
Insulation,General,80,(3) Above legal limit
Insulation,General,105,(3) Above legal limit
Insulation,General,246,(3) Above legal limit
Insulation,General,30,(3) Above legal limit
Insulation,General,103,(1) Low exposure
Insulation,General,58,(3) Above legal limit
Insulation,Negative pressure,141,(1) Low exposure
Insulation,Negative pressure,89,(3) Above legal limit
Insulation,General,92,(2) Action level
Tile,Negative pressure,210,(1) Low exposure
Tile,Negative pressure,210,(1) Low exposure
Tile,Negative pressure,155,(1) Low exposure
Insulation,Negative pressure,100,(1) Low exposure
Tile,General,253,(1) Low exposure
Tile,General,42,(3) Above legal limit
Tile,Negative pressure,174,(1) Low exposure
Tile,Negative pressure,81,(1) Low exposure
Tile,Negative pressure,269,(1) Low exposure
Tile,Negative pressure,240,(3) Above legal limit
Tile,Negative pressure,245,(1) Low exposure
Insulation,Negative pressure,300,(1) Low exposure
Tile,Negative pressure,230,(1) Low exposure
Tile,Negative pressure,78,(1) Low exposure
Tile,Negative pressure,42,(1) Low exposure
Tile,General,258,(2) Action level
Tile,General,207,(1) Low exposure
Insulation,Negative pressure,188,(3) Above legal limit
Tile,General,30,(1) Low exposure
Tile,Negative pressure,230,(1) Low exposure
Tile,Negative pressure,235,(1) Low exposure
Insulation,Negative pressure,30,(1) Low exposure
Tile,Negative pressure,211,(1) Low exposure
Tile,Negative pressure,210,(1) Low exposure
Tile,Negative pressure,155,(1) Low exposure
Insulation,Negative pressure,130,(2) Action level
Tile,Negative pressure,215,(1) Low exposure
Tile,Negative pressure,260,(1) Low exposure
Insulation,General,184,(1) Low exposure
Tile,General,60,(3) Above legal limit
Insulation,General,79,(2) Action level
Tile,Negative pressure,247,(1) Low exposure
