Judge,Official,Round,Winner
G. Hamada,Yes,1,de la Hoya
G. Hamada,Yes,2,Trinidad
G. Hamada,Yes,3,de la Hoya
G. Hamada,Yes,4,Trinidad
G. Hamada,Yes,5,de la Hoya
G. Hamada,Yes,6,de la Hoya
G. Hamada,Yes,7,de la Hoya
G. Hamada,Yes,8,Trinidad
G. Hamada,Yes,9,de la Hoya
G. Hamada,Yes,10,Trinidad
G. Hamada,Yes,11,Trinidad
G. Hamada,Yes,12,Trinidad
B. Logist,Yes,1,Trinidad
B. Logist,Yes,2,Trinidad
B. Logist,Yes,3,de la Hoya
B. Logist,Yes,4,Trinidad
B. Logist,Yes,5,de la Hoya
B. Logist,Yes,6,de la Hoya
B. Logist,Yes,7,Trinidad
B. Logist,Yes,8,de la Hoya
B. Logist,Yes,9,Trinidad
B. Logist,Yes,10,Trinidad
B. Logist,Yes,11,Trinidad
B. Logist,Yes,12,de la Hoya
J. Roth,Yes,1,Trinidad
J. Roth,Yes,2,Trinidad
J. Roth,Yes,3,de la Hoya
J. Roth,Yes,4,Trinidad
J. Roth,Yes,5,de la Hoya
J. Roth,Yes,6,de la Hoya
J. Roth,Yes,7,de la Hoya
J. Roth,Yes,8,de la Hoya
J. Roth,Yes,9,Trinidad
J. Roth,Yes,10,Trinidad
J. Roth,Yes,11,Trinidad
J. Roth,Yes,12,Trinidad
HBO-Lederman,No,1,de la Hoya
HBO-Lederman,No,2,de la Hoya
HBO-Lederman,No,3,de la Hoya
HBO-Lederman,No,4,Trinidad
HBO-Lederman,No,5,de la Hoya
HBO-Lederman,No,6,Trinidad
HBO-Lederman,No,7,de la Hoya
HBO-Lederman,No,8,de la Hoya
HBO-Lederman,No,9,Trinidad
HBO-Lederman,No,10,Trinidad
HBO-Lederman,No,11,Trinidad
HBO-Lederman,No,12,Trinidad
Sportsticker,No,1,Trinidad
Sportsticker,No,2,de la Hoya
Sportsticker,No,3,de la Hoya
Sportsticker,No,4,Trinidad
Sportsticker,No,5,de la Hoya
Sportsticker,No,6,de la Hoya
Sportsticker,No,7,de la Hoya
Sportsticker,No,8,de la Hoya
Sportsticker,No,9,de la Hoya
Sportsticker,No,10,Trinidad
Sportsticker,No,11,de la Hoya
Sportsticker,No,12,Trinidad
Los Angeles Times-Kawakami,No,1,de la Hoya
Los Angeles Times-Kawakami,No,2,Trinidad
Los Angeles Times-Kawakami,No,3,de la Hoya
Los Angeles Times-Kawakami,No,4,Trinidad
Los Angeles Times-Kawakami,No,5,de la Hoya
Los Angeles Times-Kawakami,No,6,de la Hoya
Los Angeles Times-Kawakami,No,7,de la Hoya
Los Angeles Times-Kawakami,No,8,de la Hoya
Los Angeles Times-Kawakami,No,9,de la Hoya
Los Angeles Times-Kawakami,No,10,Trinidad
Los Angeles Times-Kawakami,No,11,Trinidad
Los Angeles Times-Kawakami,No,12,Trinidad
USA Today,No,1,de la Hoya
USA Today,No,2,de la Hoya
USA Today,No,3,de la Hoya
USA Today,No,4,Trinidad
USA Today,No,5,de la Hoya
USA Today,No,6,de la Hoya
USA Today,No,7,Trinidad
USA Today,No,8,de la Hoya
USA Today,No,9,de la Hoya
USA Today,No,10,Trinidad
USA Today,No,11,Trinidad
USA Today,No,12,Trinidad
Associated Press,No,1,de la Hoya
Associated Press,No,2,Trinidad
Associated Press,No,3,de la Hoya
Associated Press,No,4,de la Hoya
Associated Press,No,5,de la Hoya
Associated Press,No,6,de la Hoya
Associated Press,No,7,Trinidad
Associated Press,No,8,de la Hoya
Associated Press,No,9,de la Hoya
Associated Press,No,10,Trinidad
Associated Press,No,11,Trinidad
Associated Press,No,12,Trinidad
Las Vegas Review-Journal,No,1,de la Hoya
Las Vegas Review-Journal,No,2,Trinidad
Las Vegas Review-Journal,No,3,de la Hoya
Las Vegas Review-Journal,No,4,Trinidad
Las Vegas Review-Journal,No,5,de la Hoya
Las Vegas Review-Journal,No,6,de la Hoya
Las Vegas Review-Journal,No,7,de la Hoya
Las Vegas Review-Journal,No,8,de la Hoya
Las Vegas Review-Journal,No,9,de la Hoya
Las Vegas Review-Journal,No,10,de la Hoya
Las Vegas Review-Journal,No,11,Trinidad
Las Vegas Review-Journal,No,12,Trinidad
Los Angeles Times-Springer,No,1,de la Hoya
Los Angeles Times-Springer,No,2,de la Hoya
Los Angeles Times-Springer,No,3,de la Hoya
Los Angeles Times-Springer,No,4,Trinidad
Los Angeles Times-Springer,No,5,de la Hoya
Los Angeles Times-Springer,No,6,de la Hoya
Los Angeles Times-Springer,No,7,Trinidad
Los Angeles Times-Springer,No,8,de la Hoya
Los Angeles Times-Springer,No,9,de la Hoya
Los Angeles Times-Springer,No,10,Trinidad
Los Angeles Times-Springer,No,11,Trinidad
Los Angeles Times-Springer,No,12,Trinidad
van de Wiele,No,1,de la Hoya
van de Wiele,No,2,Trinidad
van de Wiele,No,3,de la Hoya
van de Wiele,No,4,Trinidad
van de Wiele,No,5,Trinidad
van de Wiele,No,6,de la Hoya
van de Wiele,No,7,de la Hoya
van de Wiele,No,8,de la Hoya
van de Wiele,No,9,Trinidad
van de Wiele,No,10,Trinidad
van de Wiele,No,11,Trinidad
van de Wiele,No,12,Trinidad
