Show,Type,Revival,NYT rating,DN rating,Tony awards,Tony nominations,Week 1 attendance,Show run,Show run code
A Doll's House,Play,Yes,5,2.66667,4,4,87.13,Less than 6 months,1
A Thousand Clowns,Play,Yes,1.66667,2,0,0,100,Less than 6 months,1
A View From the Bridge,Play,Yes,4.66667,2.33333,2,4,88.44,6-12 months,2
Ah Wilderness!,Play,Yes,3.66667,4.66667,0,2,68.14,Less than 6 months,1
Amy's View,Play,No,3.66667,4.66667,1,2,90.72,Less than 6 months,1
An American Daughter,Play,No,2.33333,2.33333,1,1,77.09,Less than 6 months,1
Annie,Musical,Yes,1.66667,3,0,1,84.8,6-12 months,2
Annie Get Your Gun,Musical,Yes,2,4.33333,2,3,89.2,1-2 years,3
Art,Play,No,4.66667,4.66667,1,3,90.35,1-2 years,3
Band in Berlin,Musical,No,1.66667,3.33333,0,0,48.38,Less than 6 months,1
Barrymore,Play,No,4.33333,3.66667,1,1,53.69,6-12 months,2
Cabaret,Musical,Yes,3.66667,5,4,6,92.19,More than 3 years,5
Candide,Musical,Yes,3,1.33333,0,3,82.61,Less than 6 months,1
Chicago,Musical,Yes,5,5,4,5,97.02,More than 3 years,5
Closer,Play,No,1.66667,2.66667,0,1,88.91,Less than 6 months,1
Death of a Salesman,Play,Yes,5,5,4,6,86.67,6-12 months,2
Dream - The Johnny Mercer Musical,Musical revue,No,1.66667,2,0,0,72.53,Less than 6 months,1
Electra,Play,Yes,4.66667,4.33333,0,3,92.97,Less than 6 months,1
Eugene Onegin,Musical,Yes,,,0,0,40.66,Less than 6 months,1
Footloose,Musical,No,1.33333,1.33333,0,1,70.07,1-2 years,3
Forever Tango,Musical revue,No,2.66667,4,0,0,76.97,1-2 years,3
Fosse!,Musical revue,No,3,4,1,5,97.24,2-3 years,4
Getting and Spending,Play,No,1.66667,1.66667,0,0,30.83,Less than 6 months,1
God Said Ha!,Play,No,4.66667,2.33333,0,0,50.1,Less than 6 months,1
Golden Child,Play,No,2,1.66667,0,2,40.04,Less than 6 months,1
High Society,Musical,No,1.66667,2,0,2,64.87,Less than 6 months,1
Honour,Play,No,3.33333,3.33333,0,2,46.75,Less than 6 months,1
Hughie,Play,Yes,4,2,0,0,101.58,Less than 6 months,1
Into the Whirlwind,Play,No,,,0,0,,Less than 6 months,1
It Ain't Nothin' But the Blues,Musical revue,No,4.33333,4.33333,0,3,49.4,6-12 months,2
Ivanov,Play,Yes,4,1.66667,0,1,92.1,Less than 6 months,1
Jackie - An American Life,Play,No,2.33333,1.66667,0,0,34.74,Less than 6 months,1
Jekyll and Hyde,Musical,No,1.66667,4,0,1,67.76,More than 3 years,5
Juan Darien - A Carnival Mass,Musical,No,3.66667,4,0,2,50.76,Less than 6 months,1
King David,Musical,No,2,2.33333,0,0,68.75,Less than 6 months,1
Little Me,Musical,Yes,3,2.66667,1,2,90.61,Less than 6 months,1
London Assurance,Play,Yes,4.66667,5,0,3,95.54,Less than 6 months,1
Marlene,Musical,No,1.66667,2,0,1,56.26,Less than 6 months,1
More to Love,Play,No,1.33333,2,0,0,,Less than 6 months,1
Night Must Fall,Play,Yes,4.33333,1.66667,0,0,73.27,Less than 6 months,1
Not About Nightingales,Play,No,4.33333,4,0,4,81.77,Less than 6 months,1
On the Town,Musical,Yes,1.66667,1.66667,0,1,77.31,Less than 6 months,1
Once Upon a Mattress,Musical,Yes,2,3.33333,0,1,91.71,Less than 6 months,1
Parade,Musical,No,2,4.66667,0,4,62.87,Less than 6 months,1
Peter Pan,Musical,Yes,3.33333,3.33333,0,1,93.2,6-12 months,2
Play On!,Musical,No,2.33333,2.66667,0,2,79.9,Less than 6 months,1
Present Laughter,Play,Yes,3,2,0,1,83.33,Less than 6 months,1
Proposals,Play,No,2,3,0,0,56.94,Less than 6 months,1
Ragtime,Musical,No,3,5,1,6,90.97,1-2 years,3
Ring Around the Moon,Play,Yes,1.33333,1.33333,0,1,46.92,Less than 6 months,1
Rolling on the T.O.B.A.,Musical revue,No,3.66667,3.66667,0,0,,Less than 6 months,1
Sex and Longing,Play,No,2.66667,1,0,0,87.56,Less than 6 months,1
Side Man,Play,No,4.66667,5,2,2,92.41,1-2 years,3
Side Show,Musical,No,4.33333,2.33333,0,2,61.93,Less than 6 months,1
Skylight,Play,No,4.66667,4.66667,0,4,96.89,Less than 6 months,1
Stanley,Play,No,3.66667,2.33333,0,3,96.65,Less than 6 months,1
Steel Pier,Musical,No,1.66667,2,0,6,82.31,Less than 6 months,1
Street Corner Symphony,Musical revue,No,1.66667,2.33333,0,0,54.75,Less than 6 months,1
Summer and Smoke,Play,Yes,1,,0,0,96.69,Less than 6 months,1
Swan Lake,Musical,Yes,3.66667,2.33333,1,2,86.04,Less than 6 months,1
Taking Sides,Play,No,2,4,0,0,80.88,Less than 6 months,1
The Beauty Queen of Leenane,Play,No,5,5,4,6,87.23,6-12 months,2
The Blue Room,Play,No,3,5,0,0,97.29,Less than 6 months,1
The Capeman,Musical,No,1.66667,2.33333,0,0,70.36,Less than 6 months,1
The Chairs,Play,Yes,5,4.66667,0,4,65.22,Less than 6 months,1
The Cherry Orchard,Play,Yes,5,5,0,0,60,Less than 6 months,1
The Civil War: An American Musical,Musical,No,1.33333,2.66667,0,1,57.3,Less than 6 months,1
The Deep Blue Sea,Play,Yes,2,2,0,0,88.2,Less than 6 months,1
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,0,2,71.75,6-12 months,2
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,0,0,60.59,Less than 6 months,1
The Gin Game,Play,Yes,4.66667,5,0,3,71.9,Less than 6 months,1
The Herbal Bed,Play,No,2,1.66667,0,0,29.35,Less than 6 months,1
The Iceman Cometh,Play,Yes,4,5,0,3,99.94,Less than 6 months,1
The Judas Kiss,Play,No,1.66667,3.66667,0,0,79.69,Less than 6 months,1
The Last Night of Ballyhoo,Play,No,3,4.33333,1,4,81.39,1-2 years,3
The Life,Musical,No,2.33333,2,2,6,44.08,1-2 years,3
The Lion in Winter,Play,Yes,2,1.66667,0,1,92.21,Less than 6 months,1
The Lion King,Musical,No,3.33333,5,2,4,96.63,More than 3 years,5
The Little Foxes,Play,Yes,1.66667,2,0,1,74.4,Less than 6 months,1
The Lonesome West,Play,No,2.66667,5,0,4,42.33,Less than 6 months,1
The Old Neighborhood,Play,No,5,3,0,0,83.91,Less than 6 months,1
The Rehearsal,Play,Yes,2,1.33333,0,0,73.85,Less than 6 months,1
The Scarlet Pimpernel,Musical,No,2,2.66667,0,2,92.78,1-2 years,3
The Sound of Music,Musical,Yes,2.66667,2,0,1,87.43,1-2 years,3
The Sunshine Boys,Play,Yes,4.33333,5,0,0,65.21,6-12 months,2
The Three Sisters (1),Play,Yes,4.66667,1.66667,0,0,,Less than 6 months,1
The Three Sisters (2),Play,Yes,3,1.66667,0,0,100,Less than 6 months,1
The Weir,Play,No,5,4.66667,0,0,91.91,6-12 months,2
The Young Man From Atlanta,Play,No,3.33333,5,0,3,56.99,Less than 6 months,1
Titanic,Musical,No,2,3,1,1,71.26,1-2 years,3
Triumph of Love,Musical,No,2,4.33333,0,1,77.28,Less than 6 months,1
Twelfth Night,Play,Yes,3,5,0,1,97.47,Less than 6 months,1
Wait Until Dark,Play,Yes,1.66667,1,0,0,92.44,Less than 6 months,1
You're a Good Man Charlie Brown,Musical,Yes,2,2,2,4,54.05,Less than 6 months,1
1776,Musical,Yes,4.33333,5,0,3,99.15,6-12 months,2
