Site,Result
Away,Win
Away,Win
Home,Win
Away,Win
Away,Win
Home,Win
Away,Win
Home,Win
Home,Win
Home,Win
Home,Loss
Home,Tie
Away,Win
Home,Tie
Away,Win
Home,Tie
Home,Loss
Away,Loss
Away,Tie
Home,Win
Home,Win
Home,Win
Home,Win
Home,Loss
Away,Win
Away,Loss
Away,Win
Home,Win
Away,Loss
Away,Loss
Away,Win
Home,Tie
Away,Loss
Home,Loss
Away,Win
Away,Tie
Home,Loss
Home,Loss
Home,Loss
Away,Loss
Home,Tie
Away,Loss
Away,Win
Away,Win
Home,Win
Home,Win
Away,Win
Home,Win
Away,Tie
Home,Tie
Away,Win
Away,Tie
Home,Tie
Away,Loss
Away,Loss
Home,Win
Home,Loss
Away,Win
Away,Win
Away,Win
Home,Win
Home,Loss
Away,Loss
Home,Win
Home,Win
Home,Loss
Away,Loss
Away,Win
Home,Win
Away,Win
Away,Loss
Away,Win
Away,Loss
Home,Tie
Away,Loss
Away,Win
Home,Loss
Home,Loss
Home,Loss
Home,Win
Home,Loss
Away,Win
Away,Loss
Home,Win
